,Transaction_ID,Transaction_Date,Product_ID,Store_ID,Quantity,Unit_Price,Product_Name,Category,Store_Name,Country,Total Sale,Transaction,Year,Month,Day
0,1,2023-11-24,1006,9,1,26.86,Product_1006,Electronics,Store_9,UK,26.86,2023-11-24,2023,11,24
1,2,2023-02-27,1003,1,15,17.48,Product_1003,Groceries,Store_1,Canada,262.2,2023-02-27,2023,2,27
2,3,2023-01-13,1007,1,8,87.47,Product_1007,Electronics,Store_1,Canada,699.76,2023-01-13,2023,1,13
3,4,2023-05-21,1004,4,11,96.51,Product_1004,Electronics,Store_4,Canada,1061.6100000000001,2023-05-21,2023,5,21
4,5,2023-05-06,1006,9,12,7.97,Product_1006,Electronics,Store_9,UK,95.64,2023-05-06,2023,5,6
5,6,2023-04-25,1009,6,12,74.47,Product_1009,Clothing,Store_6,USA,893.64,2023-04-25,2023,4,25
6,7,2023-03-13,1002,3,4,91.4,Product_1002,Groceries,Store_3,USA,365.6,2023-03-13,2023,3,13
7,8,2023-02-22,1006,1,16,86.45,Product_1006,Electronics,Store_1,Canada,1383.2,2023-02-22,2023,2,22
8,9,2023-12-13,1007,4,4,96.63,Product_1007,Electronics,Store_4,Canada,386.52,2023-12-13,2023,12,13
9,10,2023-10-07,1004,9,5,77.21,Product_1004,Electronics,Store_9,UK,386.04999999999995,2023-10-07,2023,10,7
10,11,2023-02-14,1003,3,5,47.02,Product_1003,Groceries,Store_3,USA,235.10000000000002,2023-02-14,2023,2,14
11,12,2023-10-30,1007,9,8,34.64,Product_1007,Electronics,Store_9,UK,277.12,2023-10-30,2023,10,30
12,13,2023-08-05,1007,7,10,35.47,Product_1007,Electronics,Store_7,Canada,354.7,2023-08-05,2023,8,5
13,14,2023-01-17,1002,4,17,73.82,Product_1002,Groceries,Store_4,Canada,1254.9399999999998,2023-01-17,2023,1,17
14,15,2023-01-16,1005,3,9,75.85,Product_1005,Groceries,Store_3,USA,682.65,2023-01-16,2023,1,16
15,16,2023-02-17,1004,10,19,24.03,Product_1004,Electronics,Store_10,Canada,456.57000000000005,2023-02-17,2023,2,17
16,17,2023-04-22,1001,5,14,87.47,Product_1001,Electronics,Store_5,USA,1224.58,2023-04-22,2023,4,22
17,18,2023-04-30,1007,5,8,72.92,Product_1007,Electronics,Store_5,USA,583.36,2023-04-30,2023,4,30
18,19,2023-09-16,1005,3,9,58.46,Product_1005,Groceries,Store_3,USA,526.14,2023-09-16,2023,9,16
19,20,2023-11-05,1001,9,11,49.8,Product_1001,Electronics,Store_9,UK,547.8,2023-11-05,2023,11,5
20,21,2023-01-14,1004,4,1,56.61,Product_1004,Electronics,Store_4,Canada,56.61,2023-01-14,2023,1,14
21,22,2023-10-15,1000,5,14,20.13,Product_1000,Groceries,Store_5,USA,281.82,2023-10-15,2023,10,15
22,23,2023-04-12,1009,4,5,24.35,Product_1009,Clothing,Store_4,Canada,121.75,2023-04-12,2023,4,12
23,24,2023-11-29,1005,5,14,13.66,Product_1005,Groceries,Store_5,USA,191.24,2023-11-29,2023,11,29
24,25,2023-12-26,1008,7,4,19.6,Product_1008,Clothing,Store_7,Canada,78.4,2023-12-26,2023,12,26
25,26,2023-10-07,1000,9,1,48.1,Product_1000,Groceries,Store_9,UK,48.1,2023-10-07,2023,10,7
26,27,2023-08-03,1009,7,19,55.38,Product_1009,Clothing,Store_7,Canada,1052.22,2023-08-03,2023,8,3
27,28,2023-04-23,1002,5,8,6.7,Product_1002,Groceries,Store_5,USA,53.6,2023-04-23,2023,4,23
28,29,2023-08-18,1006,10,15,80.7,Product_1006,Electronics,Store_10,Canada,1210.5,2023-08-18,2023,8,18
29,30,2023-10-29,1003,10,15,32.95,Product_1003,Groceries,Store_10,Canada,494.25000000000006,2023-10-29,2023,10,29
30,31,2023-05-23,1008,7,9,91.62,Product_1008,Clothing,Store_7,Canada,824.58,2023-05-23,2023,5,23
31,32,2023-01-04,1002,10,9,96.91,Product_1002,Groceries,Store_10,Canada,872.1899999999999,2023-01-04,2023,1,4
32,33,2023-03-23,1004,5,10,22.62,Product_1004,Electronics,Store_5,USA,226.20000000000002,2023-03-23,2023,3,23
33,34,2023-12-24,1002,3,9,48.9,Product_1002,Groceries,Store_3,USA,440.09999999999997,2023-12-24,2023,12,24
34,35,2023-08-05,1006,7,3,5.12,Product_1006,Electronics,Store_7,Canada,15.36,2023-08-05,2023,8,5
35,36,2023-06-24,1004,2,11,61.84,Product_1004,Electronics,Store_2,Canada,680.24,2023-06-24,2023,6,24
36,37,2023-05-23,1008,9,6,62.69,Product_1008,Clothing,Store_9,UK,376.14,2023-05-23,2023,5,23
37,38,2023-03-21,1006,10,2,28.52,Product_1006,Electronics,Store_10,Canada,57.04,2023-03-21,2023,3,21
38,39,2023-04-21,1001,10,7,58.05,Product_1001,Electronics,Store_10,Canada,406.34999999999997,2023-04-21,2023,4,21
39,40,2023-06-22,1003,1,18,26.43,Product_1003,Groceries,Store_1,Canada,475.74,2023-06-22,2023,6,22
40,41,2023-02-22,1008,6,2,20.28,Product_1008,Clothing,Store_6,USA,40.56,2023-02-22,2023,2,22
41,42,2023-02-17,1001,7,17,66.89,Product_1001,Electronics,Store_7,Canada,1137.13,2023-02-17,2023,2,17
42,43,2023-07-14,1009,8,11,35.96,Product_1009,Clothing,Store_8,USA,395.56,2023-07-14,2023,7,14
43,44,2023-02-19,1008,10,12,61.08,Product_1008,Clothing,Store_10,Canada,732.96,2023-02-19,2023,2,19
44,45,2023-07-03,1009,9,19,46.16,Product_1009,Clothing,Store_9,UK,877.04,2023-07-03,2023,7,3
45,46,2023-06-26,1004,2,7,98.51,Product_1004,Electronics,Store_2,Canada,689.57,2023-06-26,2023,6,26
46,47,2023-11-06,1001,10,6,19.21,Product_1001,Electronics,Store_10,Canada,115.26,2023-11-06,2023,11,6
47,48,2023-05-16,1003,2,1,49.14,Product_1003,Groceries,Store_2,Canada,49.14,2023-05-16,2023,5,16
48,49,2023-01-23,1006,5,17,69.64,Product_1006,Electronics,Store_5,USA,1183.88,2023-01-23,2023,1,23
49,50,2023-08-24,1007,5,11,42.58,Product_1007,Electronics,Store_5,USA,468.38,2023-08-24,2023,8,24
50,51,2023-10-02,1002,6,18,97.6,Product_1002,Groceries,Store_6,USA,1756.8,2023-10-02,2023,10,2
51,52,2023-03-05,1000,3,17,73.58,Product_1000,Groceries,Store_3,USA,1250.86,2023-03-05,2023,3,5
52,53,2023-07-13,1003,8,7,67.41,Product_1003,Groceries,Store_8,USA,471.87,2023-07-13,2023,7,13
53,54,2023-02-10,1001,1,17,76.92,Product_1001,Electronics,Store_1,Canada,1307.64,2023-02-10,2023,2,10
54,55,2023-10-10,1007,6,9,95.5,Product_1007,Electronics,Store_6,USA,859.5,2023-10-10,2023,10,10
55,56,2023-05-31,1003,4,17,91.24,Product_1003,Groceries,Store_4,Canada,1551.08,2023-05-31,2023,5,31
56,57,2023-11-18,1001,1,8,73.81,Product_1001,Electronics,Store_1,Canada,590.48,2023-11-18,2023,11,18
